FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
ELLIS,ADLER,M,31-10-2012,07-01-2016,Senior Analyst,28,Web,23,7,4,0,62243,31,Wednesday,10,2012
CHESTER,ABUBAKR,M,07-11-2013,07-01-2016,Analyst,23,Operations,15,15,4,0,48479,7,Thursday,11,2013
ELVIN,AHARON,M,22-03-2013,07-01-2016,Analyst,23,Finance,26,4,3,0,48364,22,Friday,3,2013
ELDA,ARCINO,F,25-10-2014,07-01-2016,Analyst,25,Operations,25,5,4,3,46564,25,Saturday,10,2014
HERIBERTO,AIMBEZ,M,29-06-2013,07-01-2016,Analyst,21,Operations,18,12,4,0,48001,29,Saturday,6,2013
WAYNE,ABDELAL,M,01-01-2015,07-01-2016,Senior Analyst,25,Operations,22,8,2,0,55001,1,Thursday,1,2015
MAUDE,ANESHANSLEY,F,15-07-2014,07-01-2016,Analyst,24,Management,18,12,5,2,49901,15,Tuesday,7,2014
REY,ALLOCCO,M,19-11-2013,07-01-2016,Senior Analyst,25,Marketing,19,11,5,2,65919,19,Tuesday,11,2013
MARTIN,ABDOU,M,01-02-2012,07-01-2016,Senior Analyst,25,IT,22,8,2,0,61353,1,Wednesday,2,2012
KEISHA,ANGIS,F,12-09-2014,07-01-2016,Analyst,25,Marketing,18,12,2,3,49321,12,Friday,9,2014
JEFFERY,ABEND,M,24-11-2014,07-01-2016,Associate,31,Web,25,5,4,6,93715,24,Monday,11,2014
ROMEO,AINSLEY,M,20-11-2014,07-01-2016,Analyst,23,IT,15,15,5,1,41052,20,Thursday,11,2014
JOSUE,AKRAM,M,06-03-2013,07-01-2016,Analyst,24,IT,29,1,3,0,46907,6,Wednesday,3,2013
ADA,AMEZAGA,F,15-10-2014,07-01-2016,Analyst,22,Web,25,5,3,0,45518,15,Wednesday,10,2014
FREDA,ANASTAS,F,30-06-2014,07-01-2016,Analyst,23,Web,25,5,5,0,43894,30,Monday,6,2014
MOSES,AFANADOR,M,25-01-2013,07-01-2016,Analyst,25,IT,19,11,3,1,48355,25,Friday,1,2013
DYLAN,AGRELA,M,23-11-2014,07-01-2016,Analyst,22,Management,15,15,3,0,47759,23,Sunday,11,2014
MYRNA,ANDREADIS,F,16-01-2013,07-01-2016,Analyst,25,Marketing,27,3,3,1,40105,16,Wednesday,1,2013
ELEANOR,ALVA,F,27-09-2012,07-01-2016,Senior Analyst,26,Operations,24,6,5,1,60014,27,Thursday,9,2012
PATRICIA,ALLYN,M,28-07-2013,07-01-2016,Analyst,21,Finance,21,9,2,0,44848,28,Sunday,7,2013
ROSARIO,ALEJOS,M,18-05-2013,07-01-2016,Analyst,22,Finance,19,11,4,0,45103,18,Saturday,5,2013
MAYRA,ANGLES,F,19-06-2013,07-01-2016,Associate,32,Finance,15,15,5,4,81191,19,Wednesday,6,2013
SUZANNE,ALVARA,F,29-03-2014,07-01-2016,Analyst,22,Marketing,15,15,5,0,45025,29,Saturday,3,2014
ARNULFO,ALBERO,M,30-08-2014,07-01-2016,Analyst,21,Finance,16,14,3,0,41943,30,Saturday,8,2014
BEULAH,AMONETTE,F,09-10-2012,07-01-2016,Senior Analyst,27,Management,28,2,2,0,50393,9,Tuesday,10,2012
LORAINE,ANTMAN,F,03-09-2013,07-01-2016,Analyst,22,Web,25,5,4,0,42003,3,Tuesday,9,2013
CHAD,ABERCOMBIE,M,21-04-2014,07-01-2016,Analyst,22,IT,24,6,2,0,42041,21,Monday,4,2014
BEVERLEY,ARCADIPANE,F,12-01-2013,07-01-2016,Analyst,25,IT,24,6,3,1,44015,12,Saturday,1,2013
CLIFFORD,ABLES,M,07-05-2011,07-01-2016,Manager,32,Marketing,29,1,2,4,140916,7,Saturday,5,2011
DEVON,AGUERO,M,14-06-2013,07-01-2016,Analyst,22,Web,22,8,5,0,46173,14,Friday,6,2013
SCOTT,ABAJA,M,29-09-2014,07-01-2016,Analyst,23,Web,22,8,5,1,41701,29,Monday,9,2014
MIKEL,ALFARO,M,16-03-2013,07-01-2016,Analyst,24,Marketing,20,10,4,0,47465,16,Saturday,3,2013
SHEENA,ANGSTADT,F,03-07-2014,07-01-2016,Analyst,24,Management,22,8,3,1,49670,3,Thursday,7,2014
ELSIE,ALY,F,06-05-2011,07-01-2016,Senior Manager,35,Operations,19,11,4,6,153111,6,Friday,5,2011
DARWIN,AGULIAR,M,28-07-2014,07-01-2016,Analyst,23,Finance,16,14,3,1,47408,28,Monday,7,2014
SYDNEY,ALBERT,M,13-12-2014,07-01-2016,Analyst,23,Management,17,13,2,1,47629,13,Saturday,12,2014
SOPHIA,ANAYA,F,19-06-2014,07-01-2016,Senior Analyst,28,Operations,26,4,5,5,68884,19,Thursday,6,2014
LYNDA,AMIRAULT,F,01-11-2013,07-01-2016,Analyst,24,Web,30,0,4,1,49849,1,Friday,11,2013
JOEY,ACQUAVIVA,M,17-02-2014,07-01-2016,Senior Analyst,25,IT,16,14,4,1,68785,17,Monday,2,2014
BRIDGETT,ARAGUNDI,F,10-06-2013,07-01-2016,Analyst,21,Finance,27,3,4,0,48102,10,Monday,6,2013
TYREE,ALEXOPOULOS,M,23-07-2013,07-01-2016,Analyst,23,Operations,29,1,5,0,44610,23,Tuesday,7,2013
MARTINA,ANKNEY,F,08-04-2013,07-01-2016,Analyst,25,Finance,21,9,5,1,46659,8,Monday,4,2013
CRISTOBAL,ALLBRIGHT,M,28-09-2013,07-01-2016,Analyst,21,IT,17,13,3,0,47781,28,Saturday,9,2013
SUE,ALWINE,F,06-03-2014,07-01-2016,Analyst,25,Operations,23,7,3,2,49942,6,Thursday,3,2014
ROSALIND,ANGOLO,F,02-05-2014,07-01-2016,Manager,35,Web,18,12,2,8,148606,2,Friday,5,2014
NOREEN,ANTONELLO,F,08-02-2013,07-01-2016,Manager,33,Web,21,9,2,5,110885,8,Friday,2,2013
KELLY,ACEVEDA,M,24-08-2014,07-01-2016,Analyst,22,Web,28,2,2,0,45019,24,Sunday,8,2014
BRITT,ALLENSWORTH,M,24-06-2013,07-01-2016,Analyst,22,Marketing,22,8,3,0,41378,24,Monday,6,2013
JEANETTE,ALWANG,F,31-03-2014,07-01-2016,Analyst,21,Management,25,5,2,0,42327,31,Monday,3,2014
SAUL,AFFELD,M,23-01-2015,07-01-2016,Senior Analyst,28,Management,23,7,5,3,68446,23,Friday,1,2015
LONNY,ALLEBACH,M,24-03-2014,07-01-2016,Analyst,23,IT,26,4,4,0,47764,24,Monday,3,2014
COLLIN,AKERLEY,M,26-09-2014,07-01-2016,Analyst,21,Finance,22,8,5,0,49905,26,Friday,9,2014
NUMBERS,AKIMSEU,M,08-12-2014,07-01-2016,Director,45,IT,15,15,2,23,253284,8,Monday,12,2014
TAMMIE,ANDREASEN,F,04-01-2013,07-01-2016,Analyst,22,Operations,29,1,3,0,49703,4,Friday,1,2013
CATHLEEN,ANHALT,F,20-11-2014,07-01-2016,Analyst,23,Operations,22,8,5,1,48049,20,Thursday,11,2014
FELICIA,AMELING,F,25-03-2014,07-01-2016,Analyst,25,Management,19,11,5,2,43428,25,Tuesday,3,2014
ALEJANDRO,ACOSTO,M,28-01-2015,07-01-2016,Senior Manager,35,Operations,24,6,5,11,185221,28,Wednesday,1,2015
GENEVA,AMERT,F,10-08-2014,07-01-2016,Analyst,23,Operations,29,1,4,1,48969,10,Sunday,8,2014
VITO,AKER,M,21-01-2015,07-01-2016,Analyst,23,Web,30,0,5,1,45740,21,Wednesday,1,2015
JULIANA,APELIAN,F,10-09-2013,07-01-2016,Analyst,23,Web,21,9,5,0,46601,10,Tuesday,9,2013
MITCHELL,ACAL,M,25-10-2014,07-01-2016,Analyst,23,Finance,25,5,4,1,45949,25,Saturday,10,2014
VALENTIN,ALBERGOTTI,M,24-10-2013,07-01-2016,Analyst,22,Finance,22,8,3,0,41861,24,Thursday,10,2013
ADAN,AKIMA,M,14-04-2012,07-01-2016,Senior Analyst,28,Marketing,26,4,2,0,56772,14,Saturday,4,2012
MADELINE,AMIRI,F,22-01-2015,07-01-2016,Analyst,25,Web,25,5,4,3,46052,22,Thursday,1,2015
ROSANNA,AQUIRRE,F,26-08-2014,07-01-2016,Analyst,22,Management,22,8,4,0,43483,26,Tuesday,8,2014
WALKER,ALEXNDER,M,06-09-2013,07-01-2016,Analyst,25,Web,16,14,2,2,43860,6,Friday,9,2013
MARQUITA,ARANEO,F,07-12-2013,07-01-2016,Senior Analyst,28,Web,24,6,3,3,61374,7,Saturday,12,2013
LUCINDA,ANDREU,F,02-04-2013,07-01-2016,Analyst,24,Operations,19,11,5,0,48095,2,Tuesday,4,2013
BLAINE,AGUALLO,M,21-06-2014,07-01-2016,Analyst,23,Management,23,7,5,0,49592,21,Saturday,6,2014
BENNETT,ALAMEDA,M,29-01-2014,07-01-2016,Analyst,24,Marketing,18,12,2,1,46942,29,Wednesday,1,2014
DELIA,ANDEBE,F,25-01-2015,07-01-2016,Analyst,24,Web,25,5,3,2,42333,25,Sunday,1,2015
JACLYN,ANGLEY,F,10-12-2009,07-01-2016,Director,45,Web,21,9,4,17,319141,10,Thursday,12,2009
LAUREL,ANDRUSZKIEWIC,F,06-02-2011,07-01-2016,Associate,29,IT,20,10,2,3,91596,6,Sunday,2,2011
SOCORRO,ANKERSEN,F,18-08-2014,07-01-2016,Analyst,21,Web,26,4,4,0,40586,18,Monday,8,2014
PETE,ADDIEGO,M,07-03-2013,07-01-2016,Analyst,24,Finance,18,12,3,0,49530,7,Thursday,3,2013
BETH,ALYEA,F,06-08-2014,07-01-2016,Analyst,24,Management,26,4,5,2,42583,6,Wednesday,8,2014
PHILLIS,ARJUNE,F,06-11-2011,07-01-2016,Associate,29,Management,29,1,3,4,92453,6,Sunday,11,2011
LASHONDA,ARCHBOLD,F,05-12-2014,07-01-2016,Associate,28,Management,24,6,3,5,93659,5,Friday,12,2014
BROOKS,ALBARRACIN,M,09-11-2014,07-01-2016,Analyst,24,Marketing,29,1,3,2,48222,9,Sunday,11,2014
WALLY,ALLY,M,27-03-2014,07-01-2016,Analyst,25,Finance,26,4,3,2,46319,27,Thursday,3,2014
EZEKIEL,ALKIRE,M,11-08-2014,07-01-2016,Analyst,24,Operations,29,1,5,2,45861,11,Monday,8,2014
DAYNA,ARDIS,F,01-01-2013,07-01-2016,Analyst,23,Marketing,24,6,4,0,45481,1,Tuesday,1,2013
ANNE,ALTEMUS,F,01-01-2013,07-01-2016,Analyst,25,IT,16,14,2,1,42008,1,Tuesday,1,2013
ELDEN,ALMENAR,M,15-05-2014,07-01-2016,Analyst,22,IT,22,8,3,0,47850,15,Thursday,5,2014
DEWITT,ALDEN,M,14-01-2014,07-01-2016,Analyst,25,Web,25,5,4,2,40113,14,Tuesday,1,2014
COURTNEY,AFURONG,M,24-04-2013,07-01-2016,Analyst,22,IT,20,10,4,0,47525,24,Wednesday,4,2013
EARLE,ALBERTINI,M,11-05-2014,07-01-2016,Analyst,21,IT,16,14,3,0,47685,11,Sunday,5,2014
ESPERANZA,ANGELINI,F,29-01-2015,07-01-2016,Senior Analyst,25,Management,25,5,2,1,64823,29,Thursday,1,2015
NICK,ACQUILLA,M,11-11-2014,07-01-2016,Analyst,23,Management,23,7,2,1,40414,11,Tuesday,11,2014
INEZ,AMIR,F,18-01-2015,07-01-2016,Analyst,22,IT,16,14,5,0,40572,18,Sunday,1,2015
CELESTE,ANDREOZZI,F,04-04-2014,07-01-2016,Analyst,25,Finance,22,8,5,2,46350,4,Friday,4,2014
RENALDO,ALLON,M,07-04-2013,07-01-2016,Associate,28,Management,25,5,3,3,93529,7,Sunday,4,2013
QUINTIN,ALFERO,M,03-12-2012,07-01-2016,Senior Analyst,25,Web,16,14,2,0,63647,3,Monday,12,2012
LEANN,ANSBRO,F,12-12-2013,07-01-2016,Manager,35,Marketing,28,2,4,9,140401,12,Thursday,12,2013
TABATHA,ANTINARELLI,F,10-01-2014,07-01-2016,Analyst,23,IT,25,5,5,0,49141,10,Friday,1,2014
THOMAS,AAMODT,M,27-10-2014,07-01-2016,Analyst,23,IT,26,4,2,1,43670,27,Monday,10,2014
JAMAAL,ALDECOA,M,27-10-2013,07-01-2016,Analyst,23,Operations,25,5,5,0,42553,27,Sunday,10,2013
TEDDY,AGENT,M,12-09-2014,07-01-2016,Analyst,22,Operations,19,11,5,0,46783,12,Friday,9,2014
RUFUS,ADINOLFI,M,07-02-2013,07-01-2016,Analyst,22,Finance,29,1,5,0,47146,7,Thursday,2,2013
NADIA,APLAND,F,14-03-2014,07-01-2016,Analyst,22,Management,23,7,2,0,48730,14,Friday,3,2014
JASPER,AGRIOS,M,05-03-2014,07-01-2016,Analyst,22,IT,17,13,2,0,40808,5,Wednesday,3,2014
CAITLIN,ANDZULIS,F,15-02-2013,07-01-2016,Analyst,25,Management,17,13,4,1,40508,15,Friday,2,2013
SIMONE,ANOE,F,06-12-2013,07-01-2016,Analyst,22,IT,27,3,5,0,45111,6,Friday,12,2013
TAYLOR,ANTOSH,F,16-11-2014,07-01-2016,Analyst,23,Web,17,13,5,1,47414,16,Sunday,11,2014
RANDOLPH,ADDINGTON,M,04-06-2012,07-01-2016,Senior Manager,39,Marketing,25,5,4,11,161839,4,Monday,6,2012
EULA,ANAUO,F,01-05-2014,07-01-2016,Associate,29,Finance,29,1,5,5,82993,1,Thursday,5,2014
HANNA,ARGANBRIGHT,F,20-01-2013,07-01-2016,Analyst,25,IT,27,3,4,1,43354,20,Sunday,1,2013
RAUL,ABU,M,07-09-2013,07-01-2016,Analyst,24,Web,29,1,2,1,47791,7,Saturday,9,2013
VELMA,AMELUNG,F,26-04-2013,07-01-2016,Senior Analyst,25,Management,26,4,4,0,59115,26,Friday,4,2013
VERNICE,ARIAZA,F,22-10-2013,07-01-2016,Analyst,23,Finance,21,9,2,0,49830,22,Tuesday,10,2013
FELECIA,ARBUCKLE,F,25-03-2013,07-01-2016,Analyst,24,Operations,29,1,2,0,46822,25,Monday,3,2013
SELENA,ANTUNEZ,F,15-01-2013,07-01-2016,Analyst,21,Operations,19,11,5,0,45321,15,Tuesday,1,2013
CLARENCE,ABDULMATEEN,M,12-12-2014,07-01-2016,Analyst,22,Web,16,14,4,0,48781,12,Friday,12,2014
JEAN,ALSBROOK,F,28-10-2013,07-01-2016,Analyst,25,Marketing,20,10,3,2,49631,28,Monday,10,2013
BRIANNE,AREVALOS,F,10-03-2013,07-01-2016,Analyst,25,IT,29,1,5,1,46102,10,Sunday,3,2013
CHRISTI,ANINION,F,26-03-2013,07-01-2016,Analyst,25,Management,26,4,3,1,46781,26,Tuesday,3,2013
ANTONIA,ALJEMAL,M,21-03-2014,07-01-2016,Analyst,24,IT,30,0,5,1,46935,21,Friday,3,2014
AUGUSTINE,ALARIO,M,28-04-2013,07-01-2016,Analyst,24,Operations,27,3,2,0,41705,28,Sunday,4,2013
FREEMAN,ALAR,M,23-07-2014,07-01-2016,Analyst,22,Web,19,11,4,0,43434,23,Wednesday,7,2014
CHRIS,ABE,M,08-10-2013,07-01-2016,Analyst,24,Management,30,0,5,1,43726,8,Tuesday,10,2013
HORACIO,ALESSANDRINI,M,31-05-2014,07-01-2016,Analyst,23,Management,29,1,4,0,48443,31,Saturday,5,2014
SALLIE,ANDRIES,F,29-01-2014,07-01-2016,Senior Analyst,28,Management,23,7,5,5,50687,29,Wednesday,1,2014
EDITH,ALTO,F,20-09-2013,07-01-2016,Analyst,25,IT,18,12,3,2,42635,20,Friday,9,2013
WINONA,ARGENAL,F,21-05-2013,07-01-2016,Analyst,25,Finance,29,1,3,1,41834,21,Tuesday,5,2013
GRETCHEN,ANCEL,F,09-08-2014,07-01-2016,Analyst,24,Web,30,0,5,2,44028,9,Saturday,8,2014
EDDY,AILSHIRE,M,31-05-2013,07-01-2016,Analyst,22,Operations,28,2,5,0,44787,31,Friday,5,2013
MARYANN,AMMIRATO,F,03-02-2012,07-01-2016,Senior Analyst,28,Marketing,24,6,5,1,60183,3,Friday,2,2012
WM,ADDIE,M,28-06-2014,07-01-2016,Analyst,24,IT,23,7,5,1,40594,28,Saturday,6,2014
FRANKLIN,ABUGN,M,23-04-2013,07-01-2016,Analyst,24,Operations,19,11,5,0,40251,23,Tuesday,4,2013
MA,ARCIOLA,F,02-04-2014,07-01-2016,Analyst,23,Marketing,19,11,5,0,44551,2,Wednesday,4,2014
JEFFRY,AHLM,M,18-11-2014,07-01-2016,Analyst,24,Finance,29,1,4,2,49525,18,Tuesday,11,2014
DONALD,AARANT,M,21-06-2014,07-01-2016,Analyst,21,Web,16,14,4,0,43624,21,Saturday,6,2014
ADELINE,ANGLEN,F,13-11-2013,07-01-2016,Analyst,25,Finance,20,10,4,2,41785,13,Wednesday,11,2013
OLEN,ALEN,M,10-05-2012,07-01-2016,Senior Analyst,27,Operations,19,11,4,2,52760,10,Thursday,5,2012
CHERIE,ANGELBECK,F,23-12-2014,07-01-2016,Analyst,21,Operations,15,15,4,0,42143,23,Tuesday,12,2014
PABLO,ADAMO,M,20-06-2013,07-01-2016,Senior Analyst,26,Web,15,15,3,2,68067,20,Thursday,6,2013
ARLEEN,AREIZAGA,F,18-10-2012,07-01-2016,Associate,30,Operations,24,6,5,3,87166,18,Thursday,10,2012
JACKSON,AHLF,M,08-04-2013,07-01-2016,Analyst,24,IT,18,12,2,0,48519,8,Monday,4,2013
ISAAC,ACKERLY,M,07-01-2015,07-01-2016,Analyst,22,Marketing,18,12,3,0,47013,7,Wednesday,1,2015
DEWEY,ADOLPH,M,14-06-2014,07-01-2016,Analyst,23,IT,26,4,4,0,47131,14,Saturday,6,2014
BRAD,ABUNDIZ,M,19-05-2014,07-01-2016,Senior Analyst,26,Management,23,7,5,3,67582,19,Monday,5,2014
RANDALL,ABINA,M,28-09-2013,07-01-2016,Analyst,21,Web,30,0,4,0,48343,28,Saturday,9,2013
HARVEY,ACCARDI,M,11-05-2013,07-01-2016,Analyst,21,Web,28,2,2,0,44693,11,Saturday,5,2013
SELMA,ANNAS,F,29-06-2014,07-01-2016,Analyst,22,Operations,21,9,5,0,47812,29,Sunday,6,2014
SASHA,APPLEBY,F,19-01-2015,07-01-2016,Analyst,23,Operations,30,0,2,1,40690,19,Monday,1,2015
DOROTHY,ALMONTE,F,06-02-2014,07-01-2016,Analyst,21,IT,20,10,3,0,48587,6,Thursday,2,2014
CONSTANCE,AMAS,F,28-05-2014,07-01-2016,Analyst,21,Marketing,28,2,2,0,44467,28,Wednesday,5,2014
GERTRUDE,AMADEO,F,05-12-2014,07-01-2016,Analyst,23,Finance,17,13,3,1,43172,5,Friday,12,2014
MARTHA,ALPERS,F,25-04-2013,07-01-2016,Analyst,23,Web,22,8,2,0,44014,25,Thursday,4,2013
VERNON,ABREAU,M,22-11-2013,07-01-2016,Analyst,23,Marketing,29,1,4,0,44372,22,Friday,11,2013
LORA,ANADIO,F,04-01-2014,07-01-2016,Analyst,22,Finance,20,10,2,0,47033,4,Saturday,1,2014
SHELBY,ANDREONI,F,18-07-2014,07-01-2016,Analyst,22,Marketing,28,2,4,0,47990,18,Friday,7,2014
OMA,ARIETTA,F,15-10-2013,07-01-2016,Analyst,22,Management,16,14,3,0,46452,15,Tuesday,10,2013
MONTE,AGUADO,M,23-10-2013,07-01-2016,Analyst,25,Management,19,11,3,2,42826,23,Wednesday,10,2013
CARMEN,ALTKEN,F,22-05-2013,07-01-2016,Analyst,23,IT,30,0,2,0,40846,22,Wednesday,5,2013
JOANN,ALVELO,F,18-02-2013,07-01-2016,Analyst,22,Web,21,9,5,0,45036,18,Monday,2,2013
TRISTAN,ALAGNA,M,11-11-2013,07-01-2016,Associate,28,Finance,29,1,3,3,71673,11,Monday,11,2013
VAN,AFRICA,M,29-08-2013,07-01-2016,Analyst,21,Web,19,11,4,0,41386,29,Thursday,8,2013
GABRIEL,ABURTO,M,22-06-2013,07-01-2016,Analyst,23,Management,17,13,3,0,44094,22,Saturday,6,2013
VICTOR,ABDOOL,M,08-02-2013,07-01-2016,Senior Analyst,28,Finance,23,7,5,0,67575,8,Friday,2,2013
FLOSSIE,ANSHUTZ,F,14-03-2014,07-01-2016,Analyst,23,IT,27,3,3,0,45156,14,Friday,3,2014
NORMAND,ALCOCK,M,13-02-2014,07-01-2016,Analyst,21,Web,27,3,3,0,49686,13,Thursday,2,2014
ROGER,ABBAS,M,03-02-2014,07-01-2016,Analyst,22,Finance,20,10,3,0,41032,3,Monday,2,2014
IRVIN,AFFAGATO,M,04-03-2011,07-01-2016,Associate,31,Operations,27,3,5,5,98715,4,Friday,3,2011
ROSEANN,APONTA,F,10-10-2014,07-01-2016,Senior Analyst,25,Finance,28,2,5,2,58773,10,Friday,10,2014
NICKOLAS,AILES,M,25-06-2014,07-01-2016,Analyst,22,IT,24,6,2,0,41925,25,Wednesday,6,2014
CHERYL,ALSBROOKS,F,01-08-2014,07-01-2016,Analyst,25,Web,24,6,4,3,43531,1,Friday,8,2014
WAYLON,ALLISTON,M,13-12-2013,07-01-2016,Analyst,22,Operations,25,5,2,0,42673,13,Friday,12,2013
AL,ADOLPHE,M,27-10-2013,07-01-2016,Analyst,22,Operations,30,0,5,0,49618,27,Sunday,10,2013
RENAE,ARCILLA,F,27-03-2013,07-01-2016,Senior Analyst,27,Marketing,16,14,4,3,69643,27,Wednesday,3,2013
SHAWN,ANDRICK,F,23-03-2014,07-01-2016,Senior Analyst,26,Web,18,12,2,0,59262,23,Sunday,3,2014
BILLIE,AGNELLO,M,10-01-2015,07-01-2016,Analyst,25,IT,15,15,5,3,41583,10,Saturday,1,2015
DEANNA,AMBROSINO,F,07-11-2014,07-01-2016,Analyst,21,Marketing,28,2,3,0,40415,7,Friday,11,2014
CHARITY,ANGON,F,11-02-2013,07-01-2016,Analyst,24,Web,22,8,5,0,42416,11,Monday,2,2013
STEVE,ABDELDAYEN,M,12-06-2014,07-01-2016,Associate,31,Marketing,16,14,2,5,87324,12,Thursday,6,2014
JERRY,APANA,F,05-08-2011,07-01-2016,Associate,28,Web,29,1,2,0,84967,5,Friday,8,2011
EMILIE,ARCOS,F,19-01-2013,07-01-2016,Analyst,24,Management,24,6,5,0,41869,19,Saturday,1,2013
DIANN,ARAMBULA,F,17-01-2013,07-01-2016,Analyst,21,Operations,29,1,5,0,43481,17,Thursday,1,2013
MISTY,AMENTA,F,02-12-2012,07-01-2016,Senior Analyst,28,Web,15,15,4,2,54166,2,Sunday,12,2012
EMMITT,ALIMENTO,M,06-12-2014,07-01-2016,Analyst,25,Finance,20,10,3,3,47649,6,Saturday,12,2014
CAREY,APTHORPE,F,04-05-2010,07-01-2016,Manager,33,Marketing,27,3,2,5,119673,4,Tuesday,5,2010
ARLINE,APPLEBURY,F,03-06-2014,07-01-2016,Analyst,21,Web,22,8,3,0,47431,3,Tuesday,6,2014
LACEY,ANGLADA,F,07-06-2014,07-01-2016,Analyst,23,Marketing,15,15,2,0,48014,7,Saturday,6,2014
SHERI,AMOUR,F,17-08-2013,07-01-2016,Analyst,22,Management,28,2,2,0,49686,17,Saturday,8,2013
ELIZABETH,ALMIRON,F,03-12-2014,07-01-2016,Analyst,23,IT,26,4,2,1,46043,3,Wednesday,12,2014
WILTON,ALDAY,M,07-05-2013,07-01-2016,Analyst,25,Management,29,1,2,1,46110,7,Tuesday,5,2013
JUANITA,ALTSTATT,F,22-02-2013,07-01-2016,Senior Analyst,27,Web,26,4,2,0,62307,22,Friday,2,2013
NED,AHLSTEDT,M,18-11-2014,07-01-2016,Analyst,21,Web,18,12,3,0,49627,18,Tuesday,11,2014
TRAVIS,ABENDROTH,M,01-04-2014,07-01-2016,Analyst,25,Operations,28,2,3,2,44882,1,Tuesday,4,2014
MILO,ALEPIN,M,08-09-2013,07-01-2016,Manager,34,IT,25,5,5,10,144573,8,Sunday,9,2013
JARROD,AGUILLON,M,29-01-2013,07-01-2016,Senior Manager,37,Web,30,0,5,13,164773,29,Tuesday,1,2013
RICKEY,ADANK,M,12-06-2013,07-01-2016,Senior Analyst,26,Marketing,27,3,5,0,67735,12,Wednesday,6,2013
STUART,ACORDA,M,06-01-2013,07-01-2016,Analyst,23,Marketing,26,4,3,0,44964,6,Sunday,1,2013
JUNG,ARMON,F,11-12-2013,07-01-2016,Analyst,21,Marketing,30,0,2,0,41476,11,Wednesday,12,2013
HUMBERTO,AGGAS,M,07-02-2011,07-01-2016,Associate,31,IT,25,5,2,2,97830,7,Monday,2,2011
SANG,ALDAMA,M,28-04-2014,07-01-2016,Analyst,24,Operations,26,4,3,1,42797,28,Monday,4,2014
GONZALO,AHRENSTORFF,M,01-02-2014,07-01-2016,Analyst,22,IT,20,10,2,0,43173,1,Saturday,2,2014
KIMBERLEY,ANGELL,F,30-08-2014,07-01-2016,Analyst,25,IT,29,1,4,3,47683,30,Saturday,8,2014
EBONY,ANDRA,F,06-07-2010,07-01-2016,Senior Manager,38,IT,21,9,4,7,196757,6,Tuesday,7,2010
HAZEL,ALTWIES,F,11-03-2013,07-01-2016,Analyst,23,Operations,24,6,4,0,42075,11,Monday,3,2013
AMOS,AFALAVA,M,11-10-2014,07-01-2016,Analyst,22,Web,19,11,3,0,43353,11,Saturday,10,2014
TAD,ALDRICH,M,03-11-2013,07-01-2016,Analyst,22,Finance,19,11,4,0,43923,3,Sunday,11,2013
MALISSA,ARGOTE,F,20-01-2013,07-01-2016,Analyst,24,Operations,24,6,5,0,43605,20,Sunday,1,2013
VONDA,ARBIZO,F,22-01-2013,07-01-2016,Analyst,22,Marketing,21,9,3,0,41262,22,Tuesday,1,2013
GARTH,ALAND,M,14-06-2013,07-01-2016,Analyst,21,Management,23,7,3,0,48056,14,Friday,6,2013
CAROLYN,ALPHIN,F,08-03-2014,07-01-2016,Analyst,24,Finance,15,15,3,1,46584,8,Saturday,3,2014
JAMISON,ALFF,M,21-04-2013,07-01-2016,Analyst,21,Finance,20,10,4,0,42651,21,Sunday,4,2013
CAMERON,ADAMIS,M,31-07-2013,07-01-2016,Analyst,23,Marketing,22,8,3,0,42465,31,Wednesday,7,2013
CAROL,ALDER,M,15-04-2013,07-01-2016,Analyst,24,Operations,22,8,2,0,42453,15,Monday,4,2013
LOGAN,AGNER,M,17-12-2014,07-01-2016,Analyst,21,Management,23,7,3,0,46026,17,Wednesday,12,2014
CORNELL,ALAMIA,M,03-06-2014,07-01-2016,Analyst,24,Management,18,12,5,1,49581,3,Tuesday,6,2014
MAGGIE,AMITH,F,11-07-2013,07-01-2016,Analyst,22,IT,27,3,5,0,41729,11,Thursday,7,2013
ORLANDO,ADAMES,M,20-05-2013,07-01-2016,Senior Analyst,27,Marketing,20,10,2,2,56977,20,Monday,5,2013
ESTEBAN,AGUSTINE,M,07-05-2012,07-01-2016,Senior Manager,37,Management,21,9,4,11,166335,7,Monday,5,2012
WINFRED,AKEN,M,24-09-2010,07-01-2016,Manager,35,Finance,29,1,2,7,135653,24,Friday,9,2010
CONCEPCION,ANTER,F,25-06-2014,07-01-2016,Associate,30,Management,18,12,5,6,98057,25,Wednesday,6,2014
DIEGO,AHRENDES,M,08-11-2014,07-01-2016,Senior Analyst,28,Web,15,15,2,4,54184,8,Saturday,11,2014
SIDNEY,ACKEN,M,01-12-2014,07-01-2016,Analyst,25,Finance,22,8,3,3,49953,1,Monday,12,2014
CANDICE,AMOR,F,14-05-2014,07-01-2016,Senior Analyst,25,Marketing,15,15,3,0,52113,14,Wednesday,5,2014
ORVAL,ALEKNA,M,31-07-2013,07-01-2016,Analyst,24,Management,30,0,3,1,44983,31,Wednesday,7,2013
DANA,ALVIDREZ,F,23-01-2015,07-01-2016,Analyst,22,Management,26,4,4,0,45057,23,Friday,1,2015
